"","percapita","renew2017"
"1",0.31,84.7
"2",2,100
"3",2.31,0.84
"4",1.43,71.4
"5",4.89,2.55
"6",4.51,29.03
"7",1.55,29.28
"8",16.71,14.32
"9",7.5,70.25
"10",4.18,7.42
"11",2.22,0
"12",27.34,0.03
"13",0.29,1.67
"14",8.2,2.8
"15",6.55,1.71
"16",8.73,13.53
"17",0.02,48.74
"18",0.21,1.81
"19",0.84,99.99
"20",1.08,23.13
"21",6.24,24.38
"22",3.51,0.07
"23",2.47,70.24
"24",15.14,0.05
"25",6.18,14.11
"26",0.11,12.51
"27",0.02,54.35
"28",0.67,16.87
"29",0.17,39.13
"30",0.19,51.31
"31",15.82,64.59
"32",0.43,0
"33",4.8,36.28
"34",7.34,24.39
"35",1.52,76.52
"36",0.15,0
"37",1.71,10.81
"38",1.4,98.05
"39",4.26,56.66
"40",2.22,0.8
"41",6.17,7.65
"42",6.3,50.09
"43",0.48,0
"44",2.19,20.77
"45",1.3,14.32
"46",2.66,72.05
"47",2.24,8.02
"48",1,61.31
"49",0.27,0.94
"50",13.39,5.8
"51",0.96,28.26
"52",0.11,99.68
"53",1.92,48.91
"54",8.3,29.64
"55",5.21,16.14
"56",4.2,39.23
"57",0.17,0
"58",2.34,80.63
"59",9.09,26.48
"60",0.35,39.61
"61",6.82,24.55
"62",1.36,0
"63",0.96,52.61
"64",0.24,24.42
"65",1.61,0
"66",2.22,0.18
"67",0.17,12.12
"68",1.09,50.11
"69",5.11,4.29
"70",10.91,99.99
"71",1.28,15.73
"72",1.37,11.24
"73",2.82,2.59
"74",8.05,27.05
"75",7.73,2.86
"76",5.74,29.41
"77",2.6,11.17
"78",8.93,16.34
"79",3.86,5.19
"80",17.45,11.29
"81",0.33,74.97
"82",0.65,16.13
"83",21.21,0
"84",1.17,91.55
"85",4.08,60.16
"86",3.91,1.95
"87",0.4,99.8
"88",1.25,9.15
"89",3.79,97.85
"90",4.88,68.38
"91",15.84,79.01
"92",0.1,40.03
"93",0.07,90.86
"94",7.18,16.36
"95",3.25,2.44
"96",0.18,56.14
"97",3.49,9.42
"98",2.22,2.25
"99",0.43,21.11
"100",3.39,4.6
"101",3.94,15.36
"102",3.89,0
"103",4.3,45.71
"104",1.87,19.03
"105",0.11,82.76
"106",0.17,56.1
"107",1.12,96.02
"108",3.76,2.78
"109",0.12,100
"110",9.39,11.05
"111",7.4,79.97
"112",0.76,41.28
"113",0.12,2.65
"114",0.96,17.22
"115",3.12,0
"116",4.32,23.14
"117",8.21,97.84
"118",5.21,0
"119",16.77,0
"120",1.71,71.58
"121",0.75,28.7
"122",0.88,100
"123",1.63,57.79
"124",1.06,23.18
"125",8.91,10.66
"126",5.02,35.48
"127",47.28,0
"128",3.94,37.5
"129",0.06,49.28
"130",0.61,33.78
"131",0.58,7.78
"132",17.11,0
"133",0.46,2.96
"134",5.22,26.49
"135",3.22,1.95
"136",0.02,72.28
"137",8.71,0.32
"138",6.62,19.07
"139",6.97,27.14
"140",0.46,0.94
"141",7.79,5.39
"142",0.17,0.55
"143",5.78,30.71
"144",0.58,30.81
"145",0.47,8.24
"146",0.23,59.69
"147",5.06,43.93
"148",4.19,50.54
"149",4.33,61.58
"150",0.25,94.43
"151",3.55,8.14
"152",0.24,0
"153",0.34,29.71
"154",1.11,6.45
"155",12.27,0.04
"156",2.33,4.04
"157",5.09,28.92
"158",7.34,0
"159",1.02,33.33
"160",0.06,89.83
"161",5.24,7.88
"162",20.5,0.59
"163",5.67,20.79
"164",16.58,15.81
"165",1.9,80.43
"166",3.58,13.81
"167",0.38,21.92
"168",0.95,13.77
"169",0.16,85.99
"170",0.9,52.61
"171",6.3,74.9
